"Dataset","Mean Acc. Pairs without Catch22","Mean Acc. Pairs w Catch22","COCALITE","COCALITETime","COCALITETime-4","COCALITETime-3","COCALITETime-2","LITETime","LITE-Catch22-Time","LITE","LITE-Catch22"
"InsectEPGSmallTrain",0.970682730923695,0.928112449799197,0.942168674698795,0.967871485943775,0.967871485943775,0.966666666666666,0.96144578313253,0.971887550200803,0.963855421686747,0.96867470741272,0.924497985839844
"InsectWingbeatSound",0.618838383838384,0.632525252525253,0.633939393939394,0.652020202020202,0.649191919191919,0.646313131313131,0.642474747474748,0.634343434343434,0.645454545454546,0.604040396213531,0.616161620616913
"ItalyPowerDemand",0.967444120505345,0.96997084548105,0.969096209912536,0.968901846452867,0.969679300291545,0.969096209912537,0.969484936831876,0.966958211856171,0.971817298347911,0.967346930503845,0.967735683917999
"LargeKitchenAppliances",0.889066666666667,0.904,0.891733333333333,0.896,0.896533333333333,0.897333333333333,0.8944,0.888,0.904,0.884800004959106,0.900266683101654
"Lightning2",0.785245901639344,0.834426229508197,0.79672131147541,0.786885245901639,0.80327868852459,0.804918032786885,0.80327868852459,0.770491803278688,0.852459016393443,0.783606553077698,0.813114750385284
"Lightning7",0.852054794520548,0.824657534246575,0.838356164383562,0.863013698630137,0.852054794520548,0.846575342465754,0.843835616438356,0.849315068493151,0.808219178082192,0.835616445541382,0.824657535552979
"Mallat",0.958805970149254,0.963027718550107,0.964264392324094,0.967590618336887,0.966908315565032,0.966098081023454,0.965501066098081,0.961620469083156,0.96588486140725,0.954797434806824,0.956503188610077
"Meat",0.925,0.928333333333333,0.93,0.916666666666667,0.92,0.925,0.925,0.933333333333333,0.916666666666667,0.930000007152557,0.933333313465118
"MedicalImages",0.773026315789474,0.754210526315789,0.763421052631579,0.785526315789474,0.781052631578947,0.779473684210526,0.776052631578947,0.781578947368421,0.771052631578947,0.757631587982178,0.733684206008911
"MelbournePedestrian",0.905084050840508,0.902993029930299,0.903977039770398,0.910619106191062,0.909389093890939,0.909061090610906,0.907913079130791,0.90569905699057,0.909389093890939,0.899302995204926,0.896514964103699
"MiddlePhalanxOutlineCorrect",0.827491408934708,0.818900343642612,0.819243986254295,0.831615120274914,0.83298969072165,0.830240549828179,0.824398625429553,0.835051546391753,0.828178694158076,0.812371134757996,0.803436434268951
"MiddlePhalanxOutlineAgeGroup",0.525324675324675,0.524675324675325,0.532467532467533,0.551948051948052,0.538961038961039,0.537012987012987,0.532467532467532,0.506493506493506,0.532467532467532,0.519480526447296,0.532467532157898
"MiddlePhalanxTW",0.519480519480519,0.522077922077922,0.522077922077922,0.519480519480519,0.516883116883117,0.515584415584416,0.514285714285714,0.512987012987013,0.519480519480519,0.519480526447296,0.512987017631531
"MixedShapesRegularTrain",0.979958762886598,0.971010309278351,0.976082474226804,0.979381443298969,0.979628865979382,0.979628865979382,0.97880412371134,0.98020618556701,0.97319587628866,0.976659798622131,0.967257726192474
"MixedShapesSmallTrain",0.938309278350516,0.914144329896907,0.932618556701031,0.937319587628866,0.936082474226804,0.936082474226804,0.935340206185567,0.93979381443299,0.915876288659794,0.935670101642609,0.906061851978302
"MoteStrain",0.877955271565495,0.874680511182108,0.876038338658147,0.884185303514377,0.883067092651757,0.88202875399361,0.880511182108626,0.880191693290735,0.878594249201278,0.874760365486145,0.865814697742462
"NonInvasiveFetalECGThorax1",0.959796437659033,0.95882951653944,0.959898218829517,0.964885496183206,0.963867684478372,0.963715012722646,0.962544529262087,0.961832061068702,0.96234096692112,0.952366423606872,0.952162861824036
"NonInvasiveFetalECGThorax2",0.958575063613231,0.954656488549618,0.95735368956743,0.964376590330789,0.96559796437659,0.963867684478372,0.961984732824428,0.963358778625954,0.958778625954198,0.953384232521057,0.944936394691467
"OliveOil",0.686666666666667,0.893333333333333,0.846666666666667,0.866666666666667,0.866666666666667,0.863333333333333,0.853333333333333,0.733333333333333,0.9,0.67333334684372,0.879999983310699
"OSULeaf",0.947520661157025,0.925206611570248,0.937190082644628,0.946280991735537,0.945454545454545,0.944214876033058,0.942148760330579,0.942148760330579,0.925619834710744,0.948760330677033,0.919008278846741
